episode_num,step_num,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,terminated
0,0,6.348789082568707e-08,9.069193689721907e-06,2.64372165758973e-05,9.875901560103961e-06,2.898425621919393e-05,-3.974872972317074e-06,7.617950565713802e-06,-3.069761630766729e-08,6.333175886734893e-05,0.00896118611144158,0.0264122384146297,0.009783413095983531,0.02893367646983824,-0.003929687132831878,0.00757588978397741,-3.0164463911026142e-05,6.348789082568716e-08,9.069193689721904e-06,2.6437216575897337e-05,9.87590156010398e-06,2.8984256219193888e-05,-3.9748729723171745e-06,7.617950565714212e-06,-3.069761630766575e-08,0,0,0,0,0,0,0,0,False
0,1,1.042155111673965e-07,-3.415395813259278e-05,8.308392186540222e-05,-6.60542907741974e-05,6.850720892109394e-05,3.9068484673725524e-05,-6.489103043623123e-05,-2.7520719259765104e-06,-2.229983015136227e-05,-0.051703894744878555,0.030281987457783006,-0.08481527819577003,0.010648025428468981,0.04610368719489226,-0.0798032896062808,-0.0026606386389955742,2.526855351569323e-07,3.542342388978657e-05,0.00010554862131929865,3.877310458216117e-05,0.0001155359305123949,-1.5546917542300364e-05,3.01391433849908e-05,-1.187031293678157e-07,0,0,0,0,0,0,0,0,False
0,2,5.198407188552872e-07,7.719380414959402e-05,0.00022061949416706314,0.0006753083976439054,0.00010482404435943179,-0.0008549054934703393,0.0006587560029756357,5.351821246671011e-05,0.00043613944767244804,0.16337956939336878,0.10697521698201069,0.8143669412908067,0.025793084461219196,-0.9272889146152623,0.8006108470884116,0.05848332162992451,5.656177008188319e-07,7.782840165571661e-05,0.00023703213406598084,8.563715822425939e-05,0.0002590688869626067,-3.4224868521959846e-05,6.708164195872739e-05,-2.58586498370022e-07,0,0,0,0,0,0,0,0,False
0,3,8.087832022019486e-07,-0.000378972171417138,0.00034055215030663475,0.0012364947841066692,0.00015560280839147,-0.0008118993388710471,0.0011039634660110586,-0.0009801720354112667,-0.00014525301162113464,-0.6110303706097338,0.013275335771020774,-0.24184366574314475,0.024630248225172274,0.9463040352140599,-0.3519926526123166,-1.0846414765906542,1.0002081505391546e-06,0.00013510673553612383,0.0004205838033005828,0.00014946692848557188,0.0004590167131726428,-5.9563716385778646e-05,0.00011798579338888671,-4.457156899690115e-07,0,0,0,0,0,0,0,0,False
0,4,1.0287095800817652e-06,-0.0007802832181825707,0.0004544145384485355,0.0017313243469902696,0.0001844800510564106,-0.0009154500435874003,0.0015006290477483828,-0.0011636779365874214,0.00036356485938691333,0.20001296521493184,0.10034049159857811,0.7266001815056239,0.0046927620905423024,-1.0249275722110631,0.7454625985926714,0.8881948127664392,1.5542803990695548e-06,0.00020613340906401766,0.0006558982802929326,0.0002293125052138873,0.0007148316043359851,-9.116042601024096e-05,0.0001824136719718076,-6.761204468437061e-07,0,0,0,0,0,0,0,0,False
0,5,1.2282878968275166e-06,-0.0011646703598248097,0.0005645814265766455,0.00213115300588238,0.00021754337530004947,-0.0010458551332695775,0.0018299349816780566,-0.001367301353292074,-0.0001621619033846571,-0.5757457035521528,0.010121037654443596,-0.3155870890619491,0.027985862872045988,0.8703340981807843,-0.41269037862783275,-1.078907351883785,2.2255584916809728e-06,0.00028983167744765884,0.000942669252029956,0.00032427313557811756,0.0010259833076272482,-0.00012865001687465988,0.0002599485333899191,-9.463798348959337e-07,0,0,0,0,0,0,0,0,False
0,6,1.405154707978084e-06,-0.0015022094069311151,0.0006732181916474975,0.002484054052695553,0.00024888695298549865,-0.0012993544315927181,0.0021088577660992682,-0.001540093196959485,0.0003374743141953293,0.22863441639866877,0.0982636951501982,0.6582995297321402,0.0038164744516092607,-1.098935552969367,0.6883945560996944,0.8931793150957135,3.011667797234833e-06,0.00038516934331072613,0.0012805898369813743,0.00043349519257165995,0.0013919581207878697,-0.00017170197556811274,0.0003501942790376724,-1.253529392552879e-06,0,0,0,0,0,0,0,0,False
0,7,1.5563265357926497e-06,-0.0018343389778242925,0.0007795563382212434,0.0027532177082854343,0.00028133359563114416,-0.0015730228971885132,0.0023253840385860196,-0.0017337898081419066,-0.00018455282198199835,-0.5519961670184118,0.008370624916875138,-0.37805401399994276,0.028228377022752,0.801036550980921,-0.4684028704659372,-1.0739639655779132,3.910135810266925e-06,0.0004911553753799222,0.0016693529473335747,0.0005561701854658107,0.0018122579395769747,-0.0002200169737702599,0.0004527749300669318,-1.5949844401448685e-06,0,0,0,0,0,0,0,0,False
0,8,1.6888405258277606e-06,-0.002128955601138593,0.0008854038456729256,0.002986553363794794,0.0003132783371688777,-0.0019611520338827433,0.0024951138163261805,-0.001896937174071817,0.0003155499707658007,0.2479077954880713,0.0972191882386961,0.6011033841406075,0.004179620514421927,-1.164316647570451,0.6348969861809551,0.8978808307108153,4.918392957582406e-06,0.0006068368376495142,0.0021086516209634304,0.000691532817712242,0.0022863993494485575,-0.00027332386701222266,0.000567334110779188,-1.968476712643892e-06,0,0,0,0,0,0,0,0,False
0,9,1.7955508565085974e-06,-0.002426708381728822,0.000989911526823707,0.003145577994822488,0.0003456982836081797,-0.0023624597690486537,0.0026061560066875473,-0.002081445761436003,-0.00020714835121243618,-0.5368022543572524,0.007586997976679,-0.4310735993937085,0.027826926973684888,0.738752913752279,-0.5203912464631372,-1.069474919371059,6.033773405771068e-06,0.0007312960998093346,0.0025981793260979325,0.0008388590965725607,0.0028139127574175974,-0.00033137695149213035,0.0006935345410279817,-2.372001977891902e-06,0,0,0,0,0,0,0,0,False
